"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105319440","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111108767"," replication factor C subunit 1-like"
"2","crg:105319440","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111131355"," replication factor C subunit 1-like"
"3","crg:105322124","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111137273"," flap endonuclease 1-like"
"4","crg:105328785","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111109564"," DNA replication licensing factor mcm2-like"
"5","crg:105328785","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111105728"," DNA replication licensing factor mcm2-like"
"6","crg:105332020","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111137687"," replication factor C subunit 5-like"
"7","crg:105332688","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111135799"," replication factor C subunit 4-like"
"8","crg:105335846","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111126192"," DNA primase small subunit-like"
"9","crg:105338480","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111120888"," replication protein A 32 kDa subunit-like"
"10","crg:105339341","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111136042"," DNA replication licensing factor mcm7-like"
"11","crg:105340418","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111129358"," ribonuclease H2 subunit C-like"
"12","crg:105343069","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111137485"," DNA polymerase alpha catalytic subunit-like"
"13","crg:105343172","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111124297"," zygotic DNA replication licensing factor mcm3-like"
"14","crg:105343752","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111137577"," ribonuclease H2 subunit A-like"
"15","crg:105343856","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111130057"," DNA polymerase alpha subunit B-like"
"16","crg:105345205","Day 1","blue","crg03030",2.43,0.41,"DNA replication","LOC111131693"," DNA replication licensing factor mcm5-like"
"17","crg:105317497","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111127323"," dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like"
"18","crg:105319941","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111101152"," succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial-like"
"19","crg:105326324","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111101642"," succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial-like"
"20","crg:105326362","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111128687"," pyruvate carboxylase, mitochondrial-like"
"21","crg:105326362","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111128990"," pyruvate carboxylase, mitochondrial-like"
"22","crg:105331349","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111099655"," probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
"23","crg:105331349","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111099658"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"24","crg:105331349","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111099657"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"25","crg:105334026","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111118600"," 2-oxoglutarate dehydrogenase, mitochondrial-like"
"26","crg:105334926","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111123350"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"27","crg:105334926","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111125610"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"28","crg:105338798","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111121719"," aconitate hydratase, mitochondrial-like"
"29","crg:105338798","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111121721"," aconitate hydratase, mitochondrial-like"
"30","crg:105339502","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111109254"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"31","crg:105339502","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111108359"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"32","crg:105343888","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111129934"," malate dehydrogenase, cytoplasmic-like"
"33","crg:105349203","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111110280"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"34","crg:105349203","Day 1","blue","crg00020",1.82,0.38,"Citrate cycle (TCA cycle)","LOC111109973"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"35","crg:105317497","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111127323"," dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like"
"36","crg:105317497","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111127323"," dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like"
"37","crg:105317940","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111130627"," probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"
"38","crg:105318496","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111119284"," acetyl-coenzyme A synthetase, cytoplasmic-like"
"39","crg:105318570","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111128695"," acylphosphatase-1-like"
"40","crg:105326193","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111112920"," 4-trimethylaminobutyraldehyde dehydrogenase-like"
"41","crg:105326193","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111115614"," 4-trimethylaminobutyraldehyde dehydrogenase-like"
"42","crg:105326289","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111129319"," 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like"
"43","crg:105326362","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111128687"," pyruvate carboxylase, mitochondrial-like"
"44","crg:105326362","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111128990"," pyruvate carboxylase, mitochondrial-like"
"45","crg:105328485","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111129260"," acylphosphatase-1-like"
"46","crg:105330192","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111134810"," aspartate aminotransferase, cytoplasmic-like"
"47","crg:105330868","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111138044"," pyruvate kinase PKM-like"
"48","crg:105331349","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111099655"," probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
"49","crg:105331349","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111099658"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"50","crg:105331349","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111099657"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"51","crg:105331349","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111099655"," probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
"52","crg:105331349","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111099658"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"53","crg:105331349","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111099657"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"54","crg:105331942","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111113116"," hydroxyacylglutathione hydrolase, mitochondrial-like"
"55","crg:105332855","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111136227"," probable D-lactate dehydrogenase, mitochondrial"
"56","crg:105332855","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111137877"," probable D-lactate dehydrogenase, mitochondrial"
"57","crg:105334026","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111118600"," 2-oxoglutarate dehydrogenase, mitochondrial-like"
"58","crg:105334926","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111123350"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"59","crg:105334926","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111125610"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"60","crg:105338798","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111121719"," aconitate hydratase, mitochondrial-like"
"61","crg:105338798","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111121721"," aconitate hydratase, mitochondrial-like"
"62","crg:105339502","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111109254"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"63","crg:105339502","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111108359"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"64","crg:105339502","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111109254"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"65","crg:105339502","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111108359"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"66","crg:105339623","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111104702"," acetyl-CoA acetyltransferase, mitochondrial-like"
"67","crg:105343888","Day 1","blue","crg00620",1.92,0.36,"Pyruvate metabolism","LOC111129934"," malate dehydrogenase, cytoplasmic-like"
"68","crg:105349203","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111110280"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"69","crg:105349203","Day 1","blue","crg01210",1.58,0.36,"2-Oxocarboxylic acid metabolism","LOC111109973"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"70","crg:105317497","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111127323"," dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like"
"71","crg:105318439","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111135159"," aldose 1-epimerase-like"
"72","crg:105318496","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111119284"," acetyl-coenzyme A synthetase, cytoplasmic-like"
"73","crg:105322313","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111122808"," phosphoglycerate kinase-like"
"74","crg:105322313","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111111035"," phosphoglycerate kinase-like"
"75","crg:105322747","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111130977"," fructose-1,6-bisphosphatase isozyme 2-like"
"76","crg:105326193","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111112920"," 4-trimethylaminobutyraldehyde dehydrogenase-like"
"77","crg:105326193","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111115614"," 4-trimethylaminobutyraldehyde dehydrogenase-like"
"78","crg:105330234","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111134997"," aldehyde dehydrogenase family 3 member B1-like"
"79","crg:105330868","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111138044"," pyruvate kinase PKM-like"
"80","crg:105330927","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111124867"," ATP-dependent 6-phosphofructokinase-like"
"81","crg:105331349","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111099655"," probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
"82","crg:105331349","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111099658"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"83","crg:105331349","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111099657"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"84","crg:105332291","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111137391"," glucose-6-phosphate isomerase-like"
"85","crg:105332291","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111136543"," glucose-6-phosphate isomerase-like"
"86","crg:105336761","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111128311"," putative glucose-6-phosphate 1-epimerase"
"87","crg:105339502","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111109254"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"88","crg:105339502","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111108359"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"89","crg:105343230","Day 1","blue","crg00010",1.58,0.3,"Glycolysis / Gluconeogenesis","LOC111128136"," aldose 1-epimerase-like"
"90","crg:105317497","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111127323"," dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like"
"91","crg:105318496","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111119284"," acetyl-coenzyme A synthetase, cytoplasmic-like"
"92","crg:105319941","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111101152"," succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial-like"
"93","crg:105322313","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111122808"," phosphoglycerate kinase-like"
"94","crg:105322313","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111111035"," phosphoglycerate kinase-like"
"95","crg:105322747","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111130977"," fructose-1,6-bisphosphatase isozyme 2-like"
"96","crg:105325247","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111116065"," phosphoserine aminotransferase-like"
"97","crg:105325247","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111115125"," phosphoserine aminotransferase-like"
"98","crg:105326324","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111101642"," succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial-like"
"99","crg:105326362","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111128687"," pyruvate carboxylase, mitochondrial-like"
"100","crg:105326362","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111128990"," pyruvate carboxylase, mitochondrial-like"
"101","crg:105328534","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111109650"," transketolase-like protein 2"
"102","crg:105330192","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111134810"," aspartate aminotransferase, cytoplasmic-like"
"103","crg:105330868","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111138044"," pyruvate kinase PKM-like"
"104","crg:105330927","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111124867"," ATP-dependent 6-phosphofructokinase-like"
"105","crg:105331349","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111099655"," probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
"106","crg:105331349","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111099658"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"107","crg:105331349","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111099657"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"108","crg:105332291","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111137391"," glucose-6-phosphate isomerase-like"
"109","crg:105332291","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111136543"," glucose-6-phosphate isomerase-like"
"110","crg:105334026","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111118600"," 2-oxoglutarate dehydrogenase, mitochondrial-like"
"111","crg:105334367","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111124565"," ribose-5-phosphate isomerase-like"
"112","crg:105334926","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111123350"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"113","crg:105334926","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111125610"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"114","crg:105335180","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111105262"," transaldolase-like"
"115","crg:105335180","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111105573"," transaldolase-like"
"116","crg:105337408","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111111318"," D-3-phosphoglycerate dehydrogenase-like"
"117","crg:105337408","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111114474"," D-3-phosphoglycerate dehydrogenase-like"
"118","crg:105338616","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111135623"," glycine cleavage system H protein-like"
"119","crg:105338616","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111135916"," glycine cleavage system H protein-like"
"120","crg:105338629","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111136681"," S-formylglutathione hydrolase-like"
"121","crg:105338798","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111121719"," aconitate hydratase, mitochondrial-like"
"122","crg:105338798","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111121721"," aconitate hydratase, mitochondrial-like"
"123","crg:105339502","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111109254"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"124","crg:105339502","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111108359"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"125","crg:105339623","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111104702"," acetyl-CoA acetyltransferase, mitochondrial-like"
"126","crg:105343888","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111129934"," malate dehydrogenase, cytoplasmic-like"
"127","crg:105344312","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111134458"," short-chain specific acyl-CoA dehydrogenase, mitochondrial-like"
"128","crg:105344312","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111134506"," short-chain specific acyl-CoA dehydrogenase, mitochondrial-like"
"129","crg:105349203","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111110280"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"130","crg:105349203","Day 1","blue","crg01200",1.92,0.25,"Carbon metabolism","LOC111109973"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"131","crg:105319529","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111099548"," kinesin-like protein KIF17"
"132","crg:105320366","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111127902"," cytoplasmic dynein 2 light intermediate chain 1-like"
"133","crg:105320366","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111130400"," cytoplasmic dynein 2 light intermediate chain 1-like"
"134","crg:105320544","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111133144"," kinesin-like protein unc-104"
"135","crg:105323058","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111124554"," myosin-IIIb-like"
"136","crg:105323058","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111123493"," myosin-IIIb-like"
"137","crg:105324771","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111126828"," cytoplasmic dynein 1 intermediate chain 2-like"
"138","crg:105325781","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111119668"," kinesin-like protein KIF19"
"139","crg:105325947","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111115167"," myosin-2 essential light chain-like"
"140","crg:105325947","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111127825"," myosin-2 essential light chain-like"
"141","crg:105326335","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111138369"," myosin-VIIa-like"
"142","crg:105326335","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111138370"," myosin-VIIa-like"
"143","crg:105326702","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111118087"," tctex1 domain-containing protein 2-like"
"144","crg:105326703","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111121282"," tctex1 domain-containing protein 1-B-like"
"145","crg:105326705","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111119261"," actin, cytoplasmic-like"
"146","crg:105327458","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111126134"," kinesin-like protein KIF3A"
"147","crg:105327458","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111126327"," kinesin-like protein KIF3A"
"148","crg:105327708","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111120500"," WD repeat-containing protein 78-like"
"149","crg:105327708","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111119946"," WD repeat-containing protein 78-like"
"150","crg:105329829","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111127315"," kinesin-like protein KIF9"
"151","crg:105329829","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111122805"," kinesin-like protein KIF9"
"152","crg:105331154","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111100502"," myosin-VIIa-like"
"153","crg:105331545","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111117899"," tctex1 domain-containing protein 1-B-like"
"154","crg:105331545","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111117984"," tctex1 domain-containing protein 1-B-like"
"155","crg:105332113","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111125151"," kinesin-like protein KIF16B"
"156","crg:105332113","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111130940"," kinesin-like protein KIF16B"
"157","crg:105332113","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111130941"," kinesin-like protein KIF16B"
"158","crg:105332113","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111125171"," kinesin-like protein KIF16B"
"159","crg:105333630","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111137068"," 33 kDa inner dynein arm light chain, axonemal-like"
"160","crg:105334480","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111134329"," F-actin-capping protein subunit beta-like"
"161","crg:105335489","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111130257"," tropomyosin"
"162","crg:105335489","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111128702"," tropomyosin-2-like"
"163","crg:105335495","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111111571"," uncharacterized"
"164","crg:105335975","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111121849"," dynein intermediate chain 3, ciliary-like"
"165","crg:105335975","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111121989"," dynein intermediate chain 3, ciliary-like"
"166","crg:105336357","Day 1","brown","crg04814",2.65,0.29,"Motor proteins","LOC111112131"," kinesin-like protein KIF21A"
