"","Day","moduleColor","ontology","GO_term","GO_ID","Transcript_ID","Protein_name"
"1","Day0","black","BP","catabolic process","GO:0009056","LOC111135359"," allantoinase, mitochondrial-like"
"6","Day0","black","BP","catabolic process","GO:0009056","LOC111122738"," anaphase-promoting complex subunit 2-like"
"8","Day0","black","BP","catabolic process","GO:0009056","LOC111131384"," beta-hexosaminidase subunit beta-like"
"12","Day0","black","BP","catabolic process","GO:0009056","LOC111119193"," pancreatic triacylglycerol lipase-like"
"14","Day0","black","BP","catabolic process","GO:0009056","LOC111118134"," pancreatic triacylglycerol lipase-like"
"15","Day0","black","BP","catabolic process","GO:0009056","LOC111099755"," peptidoglycan-recognition protein SC2-like"
"16","Day0","black","BP","catabolic process","GO:0009056","LOC111130627"," probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"
"17","Day0","black","BP","catabolic process","GO:0009056","LOC111103962"," ubiquitin carboxyl-terminal hydrolase 16-like"
"19","Day0","black","BP","catabolic process","GO:0009056","LOC111124786"," uncharacterized"
"20","Day0","black","BP","cellular component assembly","GO:0022607","LOC111131840"," Bardet-Biedl syndrome 1 protein homolog"
"24","Day0","black","BP","cellular component assembly","GO:0022607","LOC111123237"," Bardet-Biedl syndrome 2 protein homolog"
"25","Day0","black","BP","cellular component assembly","GO:0022607","LOC111110759"," caveolin-1-like"
"26","Day0","black","BP","cellular component assembly","GO:0022607","LOC111110761"," caveolin-1-like"
"27","Day0","black","BP","cellular component assembly","GO:0022607","LOC111110462"," caveolin-1-like"
"28","Day0","black","BP","cellular component assembly","GO:0022607","LOC111120700"," intraflagellar transport protein 52 homolog"
"30","Day0","black","BP","nucleocytoplasmic transport","GO:0006913","LOC111119214"," exportin-6-like"
"31","Day0","black","BP","nucleocytoplasmic transport","GO:0006913","LOC111110572"," exportin-T-like"
"33","Day0","black","BP","nucleocytoplasmic transport","GO:0006913","LOC111138201"," nucleoporin GLE1-like"
"34","Day0","black","BP","plasma membrane organization","GO:0007009","LOC111110759"," caveolin-1-like"
"35","Day0","black","BP","plasma membrane organization","GO:0007009","LOC111110462"," caveolin-1-like"
