"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105318331","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111136845"," rab5 GDP/GTP exchange factor-like"
"2","crg:105318588","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111107048"," serine/threonine-protein kinase TBK1-like"
"3","crg:105318591","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111107200"," serine/threonine-protein kinase TBK1-like"
"4","crg:105318783","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111100101"," forkhead box protein O-like"
"5","crg:105318783","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111100287"," forkhead box protein O-like"
"6","crg:105319044","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111130067"," putative transcription factor p65 homolog"
"7","crg:105319833","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111131691"," microtubule-associated proteins 1A/1B light chain 3C-like"
"8","crg:105319833","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111131738"," microtubule-associated proteins 1A/1B light chain 3C-like"
"9","crg:105320604","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111135467"," serine/threonine-protein kinase PINK1, mitochondrial-like"
"10","crg:105320700","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111115682"," autophagy-related protein 9A-like"
"11","crg:105320700","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111114705"," autophagy-related protein 9A-like"
"12","crg:105321000","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111124616"," next to BRCA1 gene 1 protein-like"
"13","crg:105321000","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111124322"," uncharacterized"
"14","crg:105321193","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111116630"," tax1-binding protein 1 homolog"
"15","crg:105321193","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111133771"," tax1-binding protein 1 homolog"
"16","crg:105325397","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111112222"," uncharacterized"
"17","crg:105325397","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111112220"," ras-related protein M-Ras-like"
"18","crg:105325397","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111113268"," ras-related protein M-Ras-like"
"19","crg:105329658","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111133263"," E3 ubiquitin-protein ligase AMFR-like"
"20","crg:105329658","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111133262"," E3 ubiquitin-protein ligase AMFR-like"
"21","crg:105329824","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111127325"," beclin-1-like"
"22","crg:105329824","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111125798"," beclin-1-like"
"23","crg:105331926","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111134873"," gamma-aminobutyric acid receptor-associated protein-like 2"
"24","crg:105332371","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111125920"," TNF receptor-associated factor 2-like"
"25","crg:105335025","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111130707"," anti-apoptotic protein NR13-like"
"26","crg:105335025","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111131320"," anti-apoptotic protein NR13-like"
"27","crg:105338002","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111112700"," ubiquitin carboxyl-terminal hydrolase 8-like"
"28","crg:105340300","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111118909"," E3 ubiquitin-protein ligase SMURF2-like"
"29","crg:105340989","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111134642"," BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like"
"30","crg:105341654","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111120138"," transcription factor AP-1-like"
"31","crg:105342014","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111136265"," GTPase HRas"
"32","crg:105342338","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111107401"," microphthalmia-associated transcription factor-like"
"33","crg:105342338","Day 0","blue","crg04137",2.18,0.34,"Mitophagy - animal","LOC111107924"," microphthalmia-associated transcription factor-like"
