,Day,moduleColor,ontology,GO_term,GO_ID,Transcript_ID,Protein_name
1,Day1,black,BP,anatomical structure development,GO:0048856,LOC111114450," POU domain, class 6, transcription factor 1-like"
3,Day1,black,BP,anatomical structure development,GO:0048856,LOC111128734, delta-like protein 1
11,Day1,black,BP,anatomical structure development,GO:0048856,LOC111108394, protein Wnt-5b-like
15,Day1,black,BP,anatomical structure development,GO:0048856,LOC111125649, protein sprouty homolog 2-like
17,Day1,black,BP,anatomical structure development,GO:0048856,LOC111134394, protein tiptop-like
25,Day1,black,BP,anatomical structure development,GO:0048856,LOC111129188," sprouty-related, EVH1 domain-containing protein 2-like"
27,Day1,black,BP,anatomical structure development,GO:0048856,LOC111100810, zinc finger protein Gfi-1b-like
28,Day1,black,BP,catabolic process,GO:0009056,LOC111125655," M protein, serotype 5-like"
30,Day1,black,BP,catabolic process,GO:0009056,LOC111136529, acidic phospholipase A2-like
32,Day1,black,BP,catabolic process,GO:0009056,LOC111135331, anaphase-promoting complex subunit 4-like
34,Day1,black,BP,catabolic process,GO:0009056,LOC111130969," arginase, hepatic-like"
35,Day1,black,BP,catabolic process,GO:0009056,LOC111103312, basic phospholipase A2 3-like
37,Day1,black,BP,catabolic process,GO:0009056,LOC111113586, carboxypeptidase A1-like
38,Day1,black,BP,catabolic process,GO:0009056,LOC111134249, catalase-like
39,Day1,black,BP,catabolic process,GO:0009056,LOC111134248, catalase-like
40,Day1,black,BP,catabolic process,GO:0009056,LOC111123216, gastric triacylglycerol lipase-like
42,Day1,black,BP,catabolic process,GO:0009056,LOC111129018, glutathione-specific gamma-glutamylcyclotransferase 1-like
43,Day1,black,BP,catabolic process,GO:0009056,LOC111121964, group XIIA secretory phospholipase A2-like
44,Day1,black,BP,catabolic process,GO:0009056,LOC111118201," hydroxyacyl-coenzyme A dehydrogenase, mitochondrial-like"
45,Day1,black,BP,catabolic process,GO:0009056,LOC111134941, inactive pancreatic lipase-related protein 1-like
46,Day1,black,BP,catabolic process,GO:0009056,LOC111124262, kynureninase-like
49,Day1,black,BP,catabolic process,GO:0009056,LOC111122015, pancreatic triacylglycerol lipase-like
50,Day1,black,BP,catabolic process,GO:0009056,LOC111112489, peptidoglycan recognition protein-like
51,Day1,black,BP,catabolic process,GO:0009056,LOC111101290, peptidoglycan-recognition protein SC2-like
52,Day1,black,BP,catabolic process,GO:0009056,LOC111116750, peptidoglycan-recognition protein SC2-like
53,Day1,black,BP,catabolic process,GO:0009056,LOC111101087, peptidoglycan-recognition protein SC2-like
54,Day1,black,BP,catabolic process,GO:0009056,LOC111103021, phenylalanine-4-hydroxylase-like
56,Day1,black,BP,catabolic process,GO:0009056,LOC111118285, phosphatidylinositol-glycan-specific phospholipase D-like
57,Day1,black,BP,catabolic process,GO:0009056,LOC111111363," phospholipase B1, membrane-associated-like"
58,Day1,black,BP,catabolic process,GO:0009056,LOC111132893, sphingomyelin phosphodiesterase-like
59,Day1,black,BP,catabolic process,GO:0009056,LOC111108262, ubiquitin carboxyl-terminal hydrolase 48-like
61,Day1,black,BP,catabolic process,GO:0009056,LOC111136645, uncharacterized
62,Day1,black,BP,catabolic process,GO:0009056,LOC111125453, uncharacterized
63,Day1,black,BP,catabolic process,GO:0009056,LOC111105355, uncharacterized
65,Day1,black,BP,catabolic process,GO:0009056,LOC111126484, uncharacterized
66,Day1,black,BP,catabolic process,GO:0009056,LOC111105348, uncharacterized
68,Day1,black,BP,catabolic process,GO:0009056,LOC111104768, uncharacterized
70,Day1,black,BP,cell population proliferation,GO:0008283,LOC111121860, bone morphogenetic protein 5-like
71,Day1,black,BP,cell population proliferation,GO:0008283,LOC111100539, fibroblast growth factor 18-like
73,Day1,black,BP,cell population proliferation,GO:0008283,LOC111118073, growth/differentiation factor 8-like
75,Day1,black,BP,cell population proliferation,GO:0008283,LOC111126204, uncharacterized
78,Day1,black,BP,cell population proliferation,GO:0008283,LOC111126735, vascular endothelial growth factor C-like
80,Day1,black,BP,cell wall organization or biogenesis,GO:0071554,LOC111112489, peptidoglycan recognition protein-like
81,Day1,black,BP,cell wall organization or biogenesis,GO:0071554,LOC111116750, peptidoglycan-recognition protein SC2-like
82,Day1,black,BP,cell wall organization or biogenesis,GO:0071554,LOC111101087, peptidoglycan-recognition protein SC2-like
83,Day1,black,BP,cell wall organization or biogenesis,GO:0071554,LOC111101290, peptidoglycan-recognition protein SC2-like
84,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111103886, ATP-citrate synthase-like
85,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111128384, CREB-regulated transcription coactivator 3-like
86,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111131690, ESF1 homolog
89,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111136917, NF-kappa-B-activating protein-like
92,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111103922, PAX3- and PAX7-binding protein 1-like
93,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111127122," POU domain, class 2, transcription factor 3-like"
94,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111114450," POU domain, class 6, transcription factor 1-like"
96,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111111579, RNA polymerase II elongation factor ELL-like
97,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111137415, RNA polymerase II subunit A C-terminal domain phosphatase-like
98,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111129950, SURP and G-patch domain-containing protein 1-like
100,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111101091, TATA box-binding protein-associated factor RNA polymerase I subunit B-like
101,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111105492, achaete-scute homolog 1a-like
102,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111131673, adenosine deaminase-like
103,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111134249, catalase-like
104,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111134248, catalase-like
105,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111119980, cell division cycle and apoptosis regulator protein 1-like
107,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111134471, cyclin-L1-like
108,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111123976," folylpolyglutamate synthase, mitochondrial-like"
111,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111106501, fork-head transcriptional regulator 2-like
112,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111119873, forkhead box protein D3-like
113,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111100932, general transcription factor IIE subunit 1-like
114,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111103987, glutathione S-transferase P 1-like
115,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111105347, glutathione S-transferase P 1-like
117,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111120554, glutathione peroxidase-like
118,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111137147, glutathione peroxidase-like
119,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111129018, glutathione-specific gamma-glutamylcyclotransferase 1-like
120,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111131445, glutathionyl-hydroquinone reductase YqjG-like
121,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111103171, homeobox protein Hox-A1-like
122,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111131126, homeobox protein orthopedia-like
123,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111118201," hydroxyacyl-coenzyme A dehydrogenase, mitochondrial-like"
124,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111136838, integrator complex subunit 12-like
126,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111129832, isoaspartyl peptidase/L-asparaginase-like
127,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111124262, kynureninase-like
130,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111112045, leucine-rich repeat flightless-interacting protein 2-like
131,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111109848, low molecular weight phosphotyrosine protein phosphatase 1-like
132,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111100610, mediator of RNA polymerase II transcription subunit 4-like
133,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111107401, microphthalmia-associated transcription factor-like
135,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111137280, microprocessor complex subunit DGCR8-like
137,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111112841, mothers against decapentaplegic homolog 3-like
140,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111099165, myosin-IIIa-like
141,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111137756, negative elongation factor A-like
142,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111125986, negative elongation factor E-like
143,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111118090, nuclear receptor coactivator 4-like
144,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111135365, nuclear receptor subfamily 0 group B member 1-like
145,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111107409, orphan steroid hormone receptor 2-like
150,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111103021, phenylalanine-4-hydroxylase-like
152,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111129707, probable peptidylglycine alpha-hydroxylating monooxygenase 1
155,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111134536, protein CREBRF homolog
158,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111103825, protein SON-like
162,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111119882, protein atonal homolog 8-like
163,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111134394, protein tiptop-like
171,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111110454, pyridoxal 5'-phosphate synthase subunit PdxS-like
172,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111120610, receptor-type guanylate cyclase Gyc76C-like
177,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111138046, remodeling and spacing factor 1-like
179,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111123753, ribose-phosphate pyrophosphokinase 1-like
180,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111134565, soluble guanylate cyclase gcy-35-like
181,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111132893, sphingomyelin phosphodiesterase-like
182,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111133504," tRNA pseudouridine synthase A, mitochondrial-like"
183,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111107792, transcription cofactor vestigial-like protein 4
186,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111125870, transcription factor SPT20 homolog
190,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111099503, transcription factor Sox-14-like
191,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111133485, uncharacterized
194,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111100362, uncharacterized
196,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111126328, uncharacterized
199,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111126484, uncharacterized
200,Day1,black,BP,cellular nitrogen compound metabolic process,GO:0034641,LOC111106676, uncharacterized
