"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105317506","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111114067"," 40S ribosomal protein S11-like"
"2","crg:105319573","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111114610"," 60S ribosomal protein L37a"
"3","crg:105319573","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111115132"," 60S ribosomal protein L37a"
"4","crg:105323167","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111114778"," 40S ribosomal protein S27-like"
"5","crg:105323167","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111115985"," 40S ribosomal protein S27-like"
"6","crg:105325638","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111136425"," 60S ribosomal protein L26-like"
"7","crg:105326463","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111106383"," 60S ribosomal protein L18a-like"
"8","crg:105326463","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111106322"," 60S ribosomal protein L18a-like"
"9","crg:105338870","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111125367"," 60S ribosomal protein L7a-like"
"10","crg:105341101","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111118126"," 40S ribosomal protein S9"
"11","crg:105341326","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111130218"," 40S ribosomal protein S6-like"
"12","crg:105341326","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111130771"," 40S ribosomal protein S6-like"
"13","crg:105344033","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111122453"," 40S ribosomal protein S21-like"
"14","crg:105344033","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111121088"," 40S ribosomal protein S21-like"
"15","crg:105344628","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111127638"," 40S ribosomal protein S16"
"16","crg:105344628","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111136522"," 40S ribosomal protein S16-like"
"17","crg:105347132","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111128317"," ubiquitin-like protein FUBI"
"18","crg:105347132","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111131662"," ubiquitin-like protein FUBI"
"19","crg:105348956","Day 0","black","crg03010",6.39,0.11,"Ribosome","LOC111119112"," uncharacterized"
"20","crg:105318708","Day 0","blue","crg04136",5.24,0.61,"Autophagy - other","LOC111138066"," cysteine protease ATG4B-like"
"21","crg:105320190","Day 0","blue","crg04136",5.24,0.61,"Autophagy - other","LOC111132433"," phosphoinositide 3-kinase regulatory subunit 4-like"
"22","crg:105320190","Day 0","blue","crg04136",5.24,0.61,"Autophagy - other","LOC111135071"," phosphoinositide 3-kinase regulatory subunit 4-like"
